maxtempF,mintempF,avgtempF,totalprecipIn
37,28,33,0.23
44,26,36,0.03
54,32,42,0.0
60,34,47,0.0
39,29,34,0.0
44,33,38,0.19
45,39,42,0.53
47,36,42,0.34
50,34,42,0.05
48,35,42,0.24
45,33,37,0.01
52,32,39,0.0
40,33,36,0.52
40,27,32,0.0
27,14,21,0.0
22,11,16,0.0
27,13,18,0.0
30,15,20,0.0
29,16,21,0.0
34,19,24,0.0
36,19,25,0.0
38,21,26,0.0
37,23,28,0.02
39,27,32,0.11
36,29,32,0.9
33,29,32,0.65
34,29,32,0.94
37,23,32,0.55
41,36,38,1.72
45,39,41,0.1
42,37,39,0.26
41,23,35,1.11
22,10,18,0.08
19,4,10,0.0
26,2,11,0.0
22,3,14,0.0
28,15,21,0.0
32,23,27,0.06
33,26,30,0.09
36,31,33,0.42
37,30,33,0.0
37,32,34,0.07
40,34,37,0.55
43,34,39,0.54
39,30,36,0.2
38,31,35,0.02
36,27,31,0.01
34,21,26,0.0
32,26,29,0.0
31,27,29,0.14
34,28,30,0.13
35,29,32,0.2
35,27,31,0.25
38,28,33,1.64
38,34,36,0.82
35,24,31,0.15
38,26,34,0.59
31,25,28,0.35
31,20,26,0.0
28,15,21,0.0
33,20,29,0.66
30,23,27,0.3
25,7,18,0.11
13,-1,6,0.0
16,3,8,0.0
24,8,14,0.0
30,16,25,0.14
30,18,24,0.02
37,25,29,1.51
38,34,37,1.53
41,27,33,0.0
41,26,32,0.0
39,27,31,0.0
35,27,30,0.0
36,28,33,0.06
35,28,31,0.0
38,25,30,0.0
36,25,29,0.0
32,18,25,0.0
32,17,25,0.35
33,20,29,0.29
34,19,27,1.07
36,31,33,0.94
33,22,29,0.21
33,18,23,0.0
34,14,22,0.0
37,24,31,0.06
38,30,34,0.31
41,35,38,0.25
46,31,37,0.0
48,28,36,0.0
39,30,34,0.0
38,25,31,0.0
42,23,30,0.0
44,24,33,0.0
41,28,32,0.0
36,26,31,0.17
37,26,32,0.35
37,28,32,0.05
36,27,31,0.15
37,30,34,1.09
40,31,36,0.61
40,32,36,0.84
42,32,36,0.33
40,34,37,0.26
40,29,36,0.3
42,32,36,0.0
47,34,39,0.0
50,33,40,0.0
42,29,35,0.0
46,25,33,0.0
41,23,30,0.0
44,23,31,0.0
44,27,34,0.0
39,32,35,0.19
38,27,33,0.09
41,23,30,0.0
38,18,26,0.0
47,19,31,0.0
44,28,34,0.0
39,29,32,0.15
39,31,34,0.17
36,27,32,0.4
39,23,29,0.0
41,22,31,0.02
37,25,30,0.02
37,20,26,0.0
42,18,29,0.0
47,28,35,0.0
52,30,38,0.0
52,30,38,0.0
56,27,40,0.0
52,34,42,0.0
45,29,38,0.0
40,32,35,0.2
43,31,36,0.03
44,31,37,0.01
39,34,36,0.93
37,30,35,1.13
41,29,34,0.06
39,27,33,0.02
40,27,34,0.0
52,31,41,0.0
50,35,43,0.12
39,29,36,0.32
43,25,34,0.17
37,26,32,0.16
36,29,32,0.43
39,29,36,0.67
60,34,45,0.0
59,36,46,0.08
41,33,37,0.28
50,33,40,0.0
55,33,44,0.0
41,29,34,0.35
36,27,31,0.19
41,24,31,0.0
42,25,32,0.12
42,24,31,0.0
41,26,33,0.0
38,27,32,0.07
42,27,34,0.02
44,29,36,0.08
49,28,38,0.07
48,31,39,0.17
36,26,31,0.5
37,25,32,0.03
40,29,34,0.18
38,27,32,0.33
39,26,31,0.0
52,25,37,0.0
57,33,44,0.0
61,32,45,0.0
63,34,48,0.0
65,37,50,0.0
56,32,45,0.09
45,27,35,0.0
44,29,35,0.16
39,28,33,0.29
39,25,31,0.11
51,25,39,0.0
57,37,48,0.0
47,35,42,0.02
46,30,38,0.04
55,33,43,0.0
39,34,37,0.86
39,29,34,0.14
36,26,30,0.01
40,25,31,0.0
38,30,34,0.27
45,29,36,0.0
42,33,38,0.56
41,29,36,0.26
36,28,32,0.2
38,26,32,0.0
36,26,31,0.37
36,25,31,0.58
41,37,39,1.51
40,36,38,0.74
37,24,30,0.35
33,20,28,0.63
39,27,35,3.62
31,25,27,0.19
34,19,28,0.03
33,13,20,0.0
35,13,22,0.0
36,18,25,0.0
39,22,30,0.06
32,21,28,0.17
32,17,22,0.0
33,16,21,0.0
33,15,20,0.0
33,15,21,0.0
34,14,21,0.0
31,13,21,0.0
30,21,25,0.18
33,22,27,0.2
33,28,30,0.52
34,23,30,0.24
30,23,28,0.68
35,30,32,0.88
37,33,35,1.45
42,36,38,2.52
37,24,32,1.55
33,26,30,0.73
33,23,27,0.08
31,24,28,0.81
31,28,29,0.33
29,19,25,0.06
30,18,25,0.14
30,16,23,0.17
24,20,22,1.1
30,23,26,0.65
29,22,26,0.15
28,22,25,0.46
26,23,25,1.04
28,21,25,0.33
27,24,26,0.9
27,19,22,0.11
26,14,20,0.1
24,12,18,0.0
23,16,20,0.41
30,16,25,0.04
25,10,16,0.0
19,4,9,0.0
17,3,9,0.0
19,4,10,0.0
